Aalmutter	Seefisch
Abdest	Waschung
Abdikation	Niederlegung
Abfindung	Tilgung
Ablaktation	Entwöhnung
Ablaß	Erlaß
Abschichtung	Absonderung
Abschuppung	Abstoßung
Absorptiometer	Apparat
Acanthosicyos horrida	Strauch
Achen	Abfluß
Achromasie	Ablenkung
Achtender	Hirsch
Ächtung	Verhängung
Adelsprädikat	Präposition
Adjoint	Stellvertreter
Adler	Sternbild
Adlerdollar	Beiname
Adlervitriol	Salzburger
Adressánt	Aussteller
Adullamiten	Spitzname
Aërophor	Apparat
Afrikanischer Krieg	Krieg
Afrikanischer Stern	Orden
Aftermiete	Wiedervermietung
Agasias	Bildhauer
Agathokles	Tyrann
Agaw	Ureinwohner
Agiotage	Spekulation
Agnoeten	Partei
Agua	Vulkan
Ägyptolog	Forscher
Ahlbeere	Johannisbeere
Akanthopterygier	Stachelflosser
Akhissar	Festung
Akis	Geliebter
Akiurgie	Chirurgie
Akkusat	Angeklagte
Akotyledonen	Pflanzen
Aktuar	Beamter
Akupressur	Blutstillung
Akupunktur	Heilverfahren
Akzént	Hervorhebung
Akzise	Steuer
Albemarlesund	Busen
Albreda	Handelsplatz
Albula	Nebenfluß
Alcide	Beiname
Alea jacta est	Würfel
Aleatorisch	Würfelspiel
Alektryomachie	Wahrsagung
Aleurometer	Apparat
Alexandrinischer Krieg	Krieg
Alexandrópol	Festung
Alexis	Pseudonym
Algoabai	Meerbusen
Alkalimetalle	Rubidium
Alkamenes	Schüler
Alkide	Beiname
Allada	Handelsplatz
Allasch	Fenchel
Alleghany	Quellfluß
Alliánz	Bündnis
Almenrausch	Alpenrose
Almonte	Handelsplatz
Alt	Nebenfluß
Altenbergen	Pfarrdorf
Altenstein	Lustschloß
Altesse	Ehrentitel
Althing	Volksvertretung
Altscherbitz	Irrenanstalt
Amaler	Herrschergeschlecht
Amaltheia	Ziege
Amaurose	Schwarzer
Ambiorix	Fürst
Amictus	Schultertuch
Amis	Pfaffe
Amnion	Eihaut
Amor vincit omnia	Liebe
Amraoti	Handelsplatz
Amras	Schloß
Amulios	Scheidemünze
Amygdaleen	Unterabteilung
Anabasis	Feldzug
Analgesie	Aufhebung
Ananias	Verfolger
Anathem	Weihgeschenk
Anbetung des heiligen Sakraments	Orden
Ancyra	Angora
Anecho	Handelsplatz
Aneho	Handelsplatz
Angelfischerei	Fangen
Angina	Bräune
Anglíst	Kenner
Anglomanie	Vorliebe
Angrecum fragrans	Orchidee
Angurie	Wassermelone
Anlasser	Apparat
Antiabolitionisten	Gegner
Antichrese	Vertrag
Antinomismus	Verwerfung
Antipater	Feldherr
Antiphon	Verfasser
Antisana	Vulkan
Antisemit	Gegner
Antisépsis	Wundbehandlung
Apfel	Obstbaum
Apis	Honigbiene
Apokalyptiker	Verfasser
Apollyon	Verderber
Apologetik	Verteidigung
Apologie	Verteidigungsrede
Apoplexie	Zerreißung
Apostata	Abtrünnige
Apostata	Beiname
Apostolische Majestät	Ehrentitel
Appellation	Anrufung
Applaudieren	Beifall
Applikatur	Fingersatz
Aquarellfarbendruck	Reproduktionsverfahren
Aquarellmalerei	Malerei
Arabát	Landzunge
Arabíst	Kenner
Arachnologie	Naturgeschichte
Arbeitslohn	Vergütung
Arbit	Abendgebet
Archaïsmus	Gebrauch
Archäolog	Erforscher
Arenenberg	Schloß
Ares	Kriegsgott
Arethusa	Quelle
Argun	Quellfluß
Arillus	Samenmantel
Ariovíst	Heerführer
Arisch	Arier
Aromatische Tinktur	Tinktur
Aromunen	Abteilung
Arrénde	Hingabe
Arrha	Anzahlung
Arsenikalien	Arsen
Artabazus	Feldherr
Artaphérnes	Neffe
Artemisia	Fürstin
Artium liberalium magister	Lehrer
Aruscha	Militärposten
Arvalische Brüder	Kollegium
Aschenbrödel	Heldin
Aschermittwoch	Mittwoch
Asir	Gebirgslandschaft
Asklepiades	Freund
Aspe	Zitterpappel
Asséssor	Beisitzer
Assibilation	Verwandlung
Associé	Teilhaber
Astrallicht	Lichtschimmer
Astrolabebai	Einbuchtung
Astronomische Zentralstelle	Kieler
Asyndeton	Zusammenstellung
Atemgeräusch	Geräusch
Athanarich	Führer
Atheïsmus	Leugnen
Athenäum	Tempel
Atitlán	Vulkan
Atrek	Grenzfluß
Atthis	Dialekt
Aub	Nebenfluß
Aloys Auer	Ritter
Auferstehung	Neubelebung
Aufprotzen	Geschütz
Aufruhr	Zusammenrottung
Aufwiegelung	Aufforderung
Auge	Sehorgan
Auktion	Verkauf
Ausfuhrprämien	Gewerbezweig
Aushängebogen	Druckbogen
Auslobung	Bekanntmachung
Auspizien	Ausschau
Ausspielgeschäft	Veräußerung
Ausverkauf	Verkauf
Auswanderung	Übersiedlung
Autoinfektion	Verschleppung
Automedon	Wagenlenker
Avers	Hochgebirgstal
Aveyron	Nebenfluß
Avoirdupois	Beiname
Axenberg	Bergvorsprung
Aymará	Indianervolk
Azel	Elster
Azhar	Moschee
Azteken	Bevölkerung
Bache	Wildsau
Badinguet	Spottname
Badioten	Bewohner
Bahawalpur	Vasallenstaat
Baidak	Flußschiff
Bairaktár	Ehrenname
Bakaïrí	Indianerstamm
Balancierpresse	Maschine
Balken	Beackerung
Ballétt	Schaustellung
Ballistische Linie	Flugbahn
Balsamocárpum brevifolium	Dornstrauch
Bambuk	Berglandschaft
Banana	Handelsplatz
Banz	Schloß
Barbakane	Außenwerk
Barbarossa	Beiname
Barden	Dichter
Bärenfenchel	Bärwurz
Bark	Segelschiff
Bar Kochba	Urheber
Barnim	Freifrau
Baronie	Besitzung
Barton	Landmädchen
Barûch	Gehilfe
Basch	Befehlshaber
Baschtarde	Galeere
Basoche	Gilde
Basselissestuhl	Webstuhl
Bassiafette	Fette
Bastide	Landhaus
Bästling	Hanfpflanze
Bataillon	Fußtruppe
Batanga	Küstenlandschaft
Bâtonnier	Obermeister
Batterie	Zusammenstellung
Bäuchen	Behandlung
Bauchflosser	Abteilung
Bauernlegen	Einziehung
Bauges	Kalkplateau
Baummörder	Baumwürger
Baumscharbe	Kormoran
Baumwollspinnerei	Verarbeitung
Bavon	Schutzpatron
Beberbeck	Vorwerk
Beckmesser	Nürnberger
Bede	Pseudonym
Bedlam	Irrenhaus
Beelzebub	Gottheit
Befähigungsnachweis	Nachweis
Begna	Quellfluß
Beichtvater	Geistliche
Belisar	Feldherr
Bellum	Krieg
Bereicherungsklage	Klage
Berengar	Vorsteher
Berg	Pseudonym
Bergakademie	Lehranstalt
Bergbock	Steinbock
Berggrün	Wasserfarbe
Bergstraße	Kunststraße
Berilldruck	Herstellung
Berintho	Pseudonym
Berliner Handelsgesellschaft	Kommanditgesellschaft
Beschränkte Haftung	Haftung
Beschtau	Berggruppe
Besemschon	Abzug
Besnyö	Kapuzinerkloster
Bessus	Satrap
Bethlem	Londoner
Betrug	Vergehen
Beweis	Darlegung
Beyer	Basaltkuppe
Bharatpur	Vasallenstaat
Bhavabhuti	Verfasser
Biberindianer	Indianerstamm
Bibi	Hütchen
Bibliographisches Institut Meyer	Verlagsbuchhandlung
Bibliothekar	Verwalter
Bibliothekographie	Beschreibung
Biblische Altertumskunde	Hilfswissenschaft
Biceps	Beiname
Bichon	Bologneser
Biddle	Stifter
Bidouze	Nebenfluß
Biebricher Scharlach	Seide
Biene	Sternbild
Bienenvogel	Bienenfresser
Bierwage	Aräometer
Biesterfeld	Jagdschloß
Bièvre	Marquis
Big Black River	Nebenfluß
Bihar	Unterabteilung
Bihatsch	Festung
Bildende Künste	Baukunst
Bildende Künste	Bildhauerkunst
Biliar	Galle
Bin	Befehlshaber
Binnenschiffahrt	Fahrt
Biographie	Verfasser
Birne	Obstbaum
Bismutum	Wismut
Bistritza	Nebenfluß
Blackrock	Seebad
Blackwood & Sons	Verlagsbuchhandlung
Blake	Kupferstecher
Blanco	Präsident
Blankenberghe	Seebad
Blättermagen	Abteilung
Blaubeere	Heidelbeere
Blaufalke	Wanderfalke
Blaustrumpf	Spottname
Blegno	Nebenfluß
Bleigießerei	Herstellung
Bleiweiß	Plumbum
Blenio	Nebenfluß
Blindfisch	Schleimaal
Blutbrechen	Erguß
Blutfink	Buchfink
Blutlaus	Blattlaus
Bö	Hagel
Bob	Spitzname
Bobo	Possenreißer
Bocksattel	Sattel
Bocskay	Fürst
Bodrog	Nebenfluß
Boëdromios	Beiname
Bogardusmühle	Mühle
Bogenbrücke	Eisenbrücke
Böhme	Theosoph
Bohnenkönigsfest	Familienfest
Bohrmaschine	Maschine
Boina	Abzeichen
Boleslawita	Pseudonym
Bolivia	Republik
Bomba	Spottname
Bombarde	Geschütz
Bombykometer	Tabelle
Bonifacius	Apostel
Bonifaciusbrunnen	Solquelle
Boni homines	Beiname
Bonzen	Priester
Bootes	Sternbild
Bootsrolle	Verteilung
Borsigwerk	Hüttenwerk
Borstenwürmer	Unterklasse
Borussia	Vorliebe
Bosniaken	Bewohner
Botallo	Leibarzt
Botanybai	Meerbusen
Botenlauben	Burgruine
Musikalienhandlung in Berlin Bote & Bock	Musikalienhandlung
Boufflers	Marquis
Bourgeoisie	Bürgerschaft
Bournemouth	Seebad
Bourrée	Gavotte
Bourtanger Moor	Hochmoor
Boz	Schriftstellername
