Sumpfschnepfe	Bekassine
Berberis	Berberitze
Berberis	Sauerdorn
Synod	Heiliger
Taikun	Shogun
Talbrücke	Viadukt
Tamarindus	Tamarinde
Tamarix	Tamariske
Tamulen	Tamil
Tauschwirtschaft	Verkehrswirtschaft
Tecoma	Trompetenbaum
Tempelherren	Templer
Templer	Templerorden
Bergmann	Bergarbeiter
Bergmann	Bergknappe
Terminrechnung	Zeitrechnung
Teucrium	Gamander
Teufelsaustreibung	Exorzismus
Bergsturz	Bergrutsch
Thesis	These
Thorium	Thor
Thuja	Lebensbaum
Thymus	Thymian
Tierepos	Tierfabel
Tobsucht	Raserei
Tortur	Folter
Transformator	Umformer
Traubenzucker	Glukose
Traubenzucker	Dextrose
Triasformation	Trias
Trigonélla	Bockshornklee
Berufung	Appellation
Tsetse	Tsetsefliege
Tuareg	Targi
Beschäler	Deckhengst
Tuffkalk	Tuffstein
Tulipa	Tulpe
Tümmlertauben	Tümmler
Beschlag	Beschlagnahme
Turbodynamo	Turbogenerator
Türkische Bagdette	Türkentaube
Türkische Bohne	Feuerbohne
Typha	Rohrkolben
Unterbindung	Ligatur
Unterschlagung	Veruntreuung
Urgeschichte	Prähistorie
Urtica	Nessel
Urtica	Brennessel
Valeriana	Baldrian
Valerianélla	Rapunzel
Betonica	Betonie
Betsäule	Bildstock
Ventilation	Lüftung
Verband	Bandage
Verbascum	Königskerze
Verbascum	Wollkraut
Veredlung	Impfung
Verknöcherung	Ossifikation
Veronica	Ehrenpreis
Beutelmarder	Raubbeutler
Versicherungsgebühr	Versicherungsprämie
Versicherungsschein	Police
Verwaltung	Administration
Verwesen	Fehlgeburt
Vesuvian	Wiluit
Veterinärkunde	Veterinärmedizin
Vicia	Wicke
Viertelstab	Wulst
Viscum	Mistel
Vitriolbleierz	Anglesit
Volkswirtschaftslehre	Nationalökonomie
Vollschiff	Dreimaster
Bezifferung	Tabulatur
Vorhalt	Retardation
Vries	Fries
Wachsstrauch	Gagelstrauch
Währung	Valuta
Waldstein	Großer
Walker	Gerber
Walker	Müller
Wamme	Triel
Wanst	Pansen
Warane	Warner
Wasseramsel	Wasserschmätzer
Wasserwage	Libelle
Watercloset	Wasserklosett
Weichflügler	Weichkäfer
Weichhäuter	Weichkäfer
Weißbleierz	Cerussit
Bidens	Zweizahn
Weißkohl	Weißkraut
Wellhorn	Wellhornschnecke
Weltkugel	Himmelsglobus
Werkverdingung	Werkvertrag
Wetterprognose	Wettervorhersage
Wettersäule	Windhose
Bienenschwärmer	Hornissenschwärmer
Affenbrotbaum	Baobab
Windbüchse	Luftgewehr
Windbüchse	Luftpistole
Windrose	Kompaßrose
Wirsing	Mailänder
Wochenbett	Kindbett
Würfel	Kubus
Xeranthemum	Strohblume
Yak	Jak
Bildhauerkunst	Skulptur
Zahnarme	Zahnlose
Zahnarzneikunst	Zahnheilkunde
Zäumung	Zaumzeug
Zehn Gebote	Dekalog
Zenturien	Magdeburger
Bimsstein	Bums
Zeugung	Fortpflanzung
Zider	Obstwein
Binder	Strecker
Zirkonium	Zirkon
Zistenröschen	Zistrose
Zitation	Vorladung
Zostera	Seegras
Zuckerriementag	Zuckertang
Zugbrücke	Fallbrücke
Zwangsvollstreckung	Exekution
Zwergente	Kragenente
Zwetschengeist	Zwetschenwasser
Zwölffeder	Geißblattgeistchen
Birkenspinner	Wollafter
Birkhuhn	Moorhuhn
Birne	Birnbaum
Bisamkraut	Moschuskraut
Bisamochse	Moschusochse
Bisamochse	Schafochse
Bisamschwein	Nabelschwein
Bischofsstab	Krummstab
Bittermandelöl	Benzaldehyd
Aftererbe	Nacherbe
Blanik	Großer
Blättermagen	Psalter
Blättermagen	Büchlein
Blattkohl	Grünkohl
Blattkohl	Braunkohl
Blattroller	Stecher
Blaufisch	Springer
Blaufuchs	Polarfuchs
Agalmatolith	Pagodit
Agalmatolith	Bildstein
Blindendruck	Hochdruck
Blitzgefahr	Blitzschlag
Agaricus	Blätterpilz
Blümlisalp	Frau
Bogenstrich	Bogenführung
Boll	Bole
Agito	Giro
Böttger	Böttcher
Agosta	Augusta
Brachvogel	Brachschnepfe
Brand	Gangrän
Agrimonia	Odermennig
Agropyrum repens	Quecke
Agrostis	Straußgras
Abdecker	Schinder
Ailanthus	Götterbaum
Ajuga	Günsel
Calendula	Ringelblume
Chronoskop	Chronograph
Cirrokumulus	Schäfchen
Cladonia	Astflechte
Coati	Nasenbär
Abendpfauenauge	Nachtpfauenauge
Cymbalum	Zimbel
Darrsucht	Darre
Dickfuß	Triel
Algerien	Algier
Döbel	Dickkopf
Alisma	Froschlöffel
Dolores	Stadt
Alkoholismus	Alkoholvergiftung
Dronte	Dodo
Alligator	Kaiman
Eidechsen	Saurier
Eierschwamm	Pfifferling
Aloë	Aloe
Alopecurus	Fuchsschwanz
Elastizität	Federkraft
Elentier	Elen
Elentier	Elch
Altersschwäche	Marasmus
Althaea	Eibisch
Eriophorum	Wollgras
Erodium	Reiherschnabel
Ertragssteuer	Realsteuer
Ertragssteuer	Objektsteuer
Estafette	Stafette
Euphorbia	Wolfsmilch
Euphrasia	Augentrost
Aluta	Alt
Evolutionstheorie	Entwicklungstheorie
Evonymus	Spindelbaum
Expropriation	Enteignung
Fähnlein	Fahne
Fahrende Habe	Fahrnis
Amarántus	Amarant
Amarántus	Fuchsschwanz
Fällung	Präzipitation
Farbenlehre	Chromatik
Färse	Kalbe
Faule	Faulsein
Faustbüchse	Fäustling
Federmotten	Geistchen
Ableitung	Derivation
Feldmeßkunst	Geodäsie
Feldmeßkunst	Landesvermessung
Fen	Fan
Fennek	Wüstenfuchs
Fernrohr	Teleskop
Festtage	Feste
Festuca	Schwingel
Fettgeschwulst	Lipom
Feuchtblatt	Feige
Feuerbusch	Feuerdorn
Feuerkugeln	Bolide
Feuerlinge	Feuerfalter
Feuerstein	Flint
Feuerwanze	Soldat
Feuerwanze	Dragoner
Feuerwerkerei	Pyrotechnik
Fibroid	Fibrom
Fibula	Fibel
Fichteneule	Forleule
Fichteneule	Kieferneule
Fieberkurve	Temperaturkurve
Ameisenlöwe	Ameisenjungfer
Amelanchier	Felsenbirne
Fingerentzündung	Umlauf
Fischbai	Große
Fischfluß	Großer
Fischotter	Otter
Flagellánten	Geißler
Flamberg	Flammenschwert
Fleischer	Metzger
Fleischer	Schlächter
Flügelaltar	Wandelaltar
Amiranten	Admiralitätsinseln
Fohlen	Füllen
