Stückfaß	Stück
Stuhlverstopfung	Obstruktion
Stuhlverstopfung	Obstipation
Südpolarländer	Antarktis
Surakarta	Solo
Taxe	Taxation
Teilhaberschaft	Partnerschaft
Territorialität	Territorialprinzip
Bergpartei	Berg
Berliner Eisen	Schwanenhals
Titaneisenerz	Ilmenit
Tonnengehalt	Tonnage
Transkeidistrikt	Transkei
Trester	Treber
Trichterbucht	Trichtermündung
Trinität	Dreieinigkeit
Trinität	Dreifaltigkeit
Tunis	Tunesien
Überschar	Mitte
Ukelei	Laube
Ulme	Wange
Umriß	Kontur
Unfruchtbarkeit	Sterilität
Unmündig	minderjährig
Uranpecherz	Pechblende
Urgeschichte	Vorgeschichte
Vanilla	Vanille
Varizellen	Windpocken
Venen	Blut
Verhärtung	Sklerose
Verrenkung	Luxation
Verstrickung	Internierung
Verwandtschaft	Blutsverwandtschaft
Viola	Veilchen
Bezifferung	Signatur
Wald	Waldung
Walnußöl	Nußöl
Wassersprung	Blasensprung
Wasserwage	Niveau
Wassulu	Reich
Weißglühen	Weißglut
Wendekreise	Tropen
Wertigkeit	Valenz
Wesergebirge	Weserbergland
Wintersolstitium	Wintersonnenwende
Wirbelsäule	Rückgrat
Wolf	Teufel
Wolf	Öffner
Bildhauerkunst	Plastik
Zahnen der Kinder	Dentition
Zahnfüllung	Plombe
Zellhaut	Zellmembran
Zellulose	Zellstoff
Zenit	Scheitelpunkt
Zentralamerika	Mittelamerika
Zentralasien	Mittelasien
Zentrum	Mittelpunkt
Zetergeschrei	Gerüst
Zeugungsvermögen	Potenz
Bindegewebe	Zellgewebe
Zingiber	Ingwer
Zinkblende	Blende
Zinkblende	Sphalerit
Zinkit	Rotzinkerz
Zinnerz	Zinnstein
Zinnerz	Kassiterit
Zitation	Ladung
Zuchtwahl	Auslese
Zuchtwahl	Selektion
Zündungen	Zündmittel
Bischoflack	Lack
Blanco	Kap
Blättermagen	Buch
Blausäure	Cyanwasserstoff
Bleiglanz	Galenit
Blütenstand	Infloreszenz
Blütenstecher	Brenner
Blutfarbstoff	Hämoglobin
Blutgeschwulst	Hämatom
Blutharnen	Hämaturie
Blutschande	Inzest
Bremsen	Bremen
Brot	Hut
Brustfellentzündung	Rippenfellentzündung
Byron	Kap
Centavo	Centimo
Akzeleration	Beschleunigung
Abendland	Okzident
Albumin	Eiweißstoff
Dinkel	Spelz
Allium	Lauch
Ebbe und Flut	Gezeiten
Einschlafen	Parästhesie
Erdteil	Weltteil
Erdteil	Kontinent
Ertragsanschlag	Taxation
Erzbistum	Erzdiözese
Eugenglanz	Polybasit
Ablaß	Indulgenz
Fahlerz	Tetraedrit
Faule	Anbruch
Feimen	Schober
Fels	Fils
Fischguano	Fischmehl
Florengebiet	Florenreich
Flugbahn	Kurve
Fluorkalium	Fluorwasserstoff
Flußsäure	Fluorwasserstoffsäure
Ammoniakwasser	Gaswasser
Frank	Franc
Frank	Franken
Fusel	Fuselöl
Garnison	Standort
Gefrorenes	Eis
Gehre	Gehrung
Gemeinde	Kommune
Geranium	Storchschnabel
Gicht	Zipperlein
Glanzpappe	Preßspan
Glasfluß	Glaspaste
Glockengut	Glockenspeise
Glühen	Glut
Glyceria	Schwaden
Gong	Tamtam
Gräne	Haken
Granulieren	körnen
Abschnitt	Segment
Grippe	Influenza
