Aali Pascha	1815
Jakob Aall	27. Juli 1773
Ivar Andreas Aasen	5. Aug. 1813
Abälard	1079
Antoine Abbadie	1810
Abbas I.	1813
Abbas I.	1557
Ernst Abbe	23. Jan. 1840
Thomas Abbt	25. Nov. 1738
Abd al-Latif	1162
Abd al-Mumin	1094
Abd el-Kader	1807
Abd ul-Asîs Sultan von Marokko	24. Febr. 1878
Abd ul-Asîs Sultan der Osmanen	9. Febr. 1830
Abd ul-Hamîd II.	22. Sept. 1842
Abd ul-Medschîd Sultan der Osmanen	23. April 1823
Arthur William A'Beckett	25. Okt. 1844
Sir Frederick Augustus Abel	17. Juli 1827
Karl von Abel	17. Sept. 1788
Niels Henrik Abel	5. Aug. 1802
Alexandre Denis Abel de Pujol	30. Jan. 1785
Abercromby	1734
George Hamilton Gordon Aberdeen	28. Jan. 1784
Wilhelm Hermann Abich	11. Dez. 1806
Abildgaard	1743
Edmond About	14. Febr. 1828
Abraham a Santa Clara	2. Juli 1644
Abrahamowicz	1843
Kornel Abrányi	31. Dez. 1849
Abravanel	1437
Hans Aßmann Abschatz	4. Febr. 1646
Franz Abt	22. Dez. 1819
Abulfeda	1273
Acciajoli	12. Sept. 1310
Franz Karl Achard	28. April 1753
Ernst Achelis	13. Jan. 1838
Thomas Achelis	17. Juni 1850
Achen	1552
Andreas Achenbach	29. Sept. 1815
Heinrich von Achenbach	23. Nov. 1829
Gottfried Achenwall	20. Okt. 1719
Artur Achleitner	16. Aug. 1858
Achmed	1589
Konrad Ernst Ackermann	1. Febr. 1712
Acton	1736
Adalbert	29. Okt. 1811
Adolphe Adam	24. Juli 1803
Albrecht Adam	16. April 1786
Lucien Adam	31. Mai 1833
Paul Adam	7. Dez. 1862
Antonie Adamberger	30. Dez. 1790
Max Adamo	3. Nov. 1837
John Adams	19. Okt. 1735
Samuel Adams	27. Sept. 1722
Michel Adanson	7. April 1727
Joseph Addison	1. Mai 1672
Adelaer	16. Dez. 1622
Johann Christoph Adelung	8. Aug. 1732
Friedrich Adler	15. Okt. 1827
Guido Adler	1. Nov. 1855
Viktor Adler	24. Juni 1852
Karl Johann Adlercreutz	27. April 1757
Eufemia von Adlersfeld	18. Aug. 1854
Georg Adlersparre	28. März 1760
Adolf Großherzog von Luxemburg	24. Juli 1817
Adolf Friedrich Großherzog von Mecklenburg-Streli	22. Juli 1848
Adolf Prinz zu Schaumburg-Lippe	20. Juli 1859
Adolf Friedrich Herzog von Holstein-Gottorp	14. Mai 1710
Aelst	1602
Bernhard Afinger	6. Mai 1813
Familie Afzelius	7. Okt. 1750
Louis Agassiz	28. Mai 1807
Antonio Agliardi	4. Sept. 1832
Marie Gräfin d'Agoult	31. Dez. 1805
Georg Agricola	24. März 1494
Agricola	20. April 1492
Cornelius Heinrich Agrippa	14. Sept. 1486
Grace Aguilar	2. Juni 1816
Ventura Ruiz Aguilera	2. Nov. 1820
Gräfin Elisa von Ahlefeldt	17. Nov. 1788
Friedrich Ahlfeld	1. Nov. 1810
August Engelbert Ahlquist	7. Aug. 1826
Hermann Ahlwardt	21. Dez. 1846
Wilhelm Ahlwardt	4. Juli 1828
Johann Franz Ahn	15. Dez. 1796
Jean Aicard	4. Febr. 1848
Aïdé	1830
Joseph Matth. Aigner	18. Jan. 1818
Aiguillon	1720
Lucy Aikin	6. Nov. 1781
Gustave Aimard	13. Sept. 1818
Max Emanuel Ainmiller	14. Febr. 1807
William Harrison Ainsworth	4. Febr. 1805
Sir George Biddell Airy	27. Juli 1801
Lieuwe van Aitzema	19. Nov. 1600
Iwan Konstantinowitsch Ajwasówskij	29. Juli 1817
Akbar	14. Okt. 1542
Mark Akenside	9. Nov. 1721
Sergéj Timoféjewitsch Aksákow	1. Okt. 1791
Marguerite Alacoque	22. Juli 1647
Luigi Alamanni	28. Okt. 1495
Alanus ab Insulis	1114
Don Pedro Antonio de Alarcón	10. März 1833
Alba	1508
Albani	15. Okt. 1692
Albani	1621
Leopold Albany	7. April 1853
Albany	29. Sept. 1753
Emil von Albedyll	1. April 1824
Joseph Albertus Alberdingk Thijm	13. Aug. 1820
Giulio Alberoni	31. Mai 1664
Albert Fürst von Monaco	13. Nov. 1848
Albert König von Sachsen	23. April 1828
Albert Herzog zu Sachsen	26. Aug. 1819
Albert	1193
Eugen d'Albert	10. April 1864
Joseph Albert	5. März 1825
Leone Battista Alberti	18. Febr. 1404
Mariotto Albertinelli	13. Okt. 1474
Michail Rilowitsch Albow	20. Nov. 1851
Albrecht II.	10. Aug. 1397
Albrecht III.	27. März 1401
Albrecht	9. Nov. 1414
Albrecht	28. März 1522
Albrecht	28. Juni 1490
Albrecht	1158
Albrecht II.	12. Dez. 1298
Albrecht VII.	13. Nov. 1559
Albrecht Erzherzog von Österreich	3. Aug. 1817
Albrecht	16. Mai 1490
Albrecht Prinz von Preußen	4. Okt. 1809
